strategy,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
random_unknown,purchase,validation,5,173,0.08863198458574181,0.05231109671300411,0.10982658959537572,0.021965317919075147
random_unknown,purchase,validation,10,173,0.17148362235067438,0.0805593441804089,0.2023121387283237,0.020809248554913295
random_unknown,purchase,validation,20,173,0.28709055876685935,0.11190637762325219,0.3468208092485549,0.018208092485549134
random_unknown,viewplus,validation,5,591,0.03503409750045617,0.06688082568130126,0.27749576988155666,0.06362098138747885
random_unknown,viewplus,validation,10,591,0.07124469190604496,0.07516762220726148,0.4602368866328257,0.06345177664974619
random_unknown,viewplus,validation,20,591,0.1447579503345389,0.10339374067781731,0.6700507614213198,0.062267343485617604
random_unknown,favoriteplus,validation,5,467,0.039831242989701234,0.03296519478709569,0.10706638115631692,0.021841541755888653
random_unknown,favoriteplus,validation,10,467,0.08544407056184358,0.05102671030480012,0.19271948608137046,0.021413276231263382
random_unknown,favoriteplus,validation,20,467,0.1793676285646307,0.08103250596576565,0.3576017130620985,0.021948608137044967
random_unknown,purchase,test,5,212,0.07562893081761007,0.04440045869330532,0.10849056603773585,0.022641509433962266
random_unknown,purchase,test,10,212,0.11061320754716981,0.0576871557320647,0.16037735849056603,0.017452830188679245
random_unknown,purchase,test,20,212,0.1998427672955975,0.08139931238993758,0.25943396226415094,0.014622641509433962
random_unknown,viewplus,test,5,611,0.04148284651230615,0.07617809734509283,0.3044189852700491,0.07561374795417349
random_unknown,viewplus,test,10,611,0.08465688956277156,0.08480249702936145,0.469721767594108,0.07054009819967268
random_unknown,viewplus,test,20,611,0.15736479187511637,0.11167968618575419,0.679214402618658,0.0662847790507365
random_unknown,favoriteplus,test,5,485,0.0481173294059892,0.040264786197813006,0.12164948453608247,0.025979381443298973
random_unknown,favoriteplus,test,10,485,0.09416462117493045,0.056934087375058874,0.20824742268041238,0.02268041237113402
random_unknown,favoriteplus,test,20,485,0.18681230567828505,0.08649942519680674,0.37731958762886597,0.02288659793814433
