latent_dim,history_group,min_train_positive_pairs,max_train_positive_pairs,mean_train_positive_pairs,eligible_users,recall_at_10,ndcg_at_10,hit_rate_at_10,precision_at_10
8,low,0,14,7.914285714285715,70,0.1457142857142857,0.08261524021969201,0.22857142857142856,0.022857142857142857
8,medium,15,26,19.87323943661972,71,0.12323943661971831,0.06891872224798679,0.16901408450704225,0.018309859154929577
8,high,26,63,36.91549295774648,71,0.1847417840375587,0.09790463756567155,0.23943661971830985,0.02394366197183099
16,low,0,14,7.914285714285715,70,0.1361904761904762,0.07837153788879832,0.2,0.02142857142857143
16,medium,15,26,19.87323943661972,71,0.07981220657276995,0.04189236188293033,0.1267605633802817,0.015492957746478875
16,high,26,63,36.91549295774648,71,0.20305164319248825,0.09924906545346306,0.2535211267605634,0.028169014084507043
32,low,0,14,7.914285714285715,70,0.15714285714285714,0.07511091811856416,0.21428571428571427,0.02142857142857143
32,medium,15,26,19.87323943661972,71,0.08685446009389672,0.04595064359855621,0.11267605633802817,0.014084507042253521
32,high,26,63,36.91549295774648,71,0.19178403755868545,0.08829642628453174,0.2535211267605634,0.02535211267605634
64,low,0,14,7.914285714285715,70,0.08571428571428572,0.061328048846111836,0.12857142857142856,0.017142857142857144
64,medium,15,26,19.87323943661972,71,0.16431924882629106,0.08969523485395316,0.18309859154929578,0.01971830985915493
64,high,26,63,36.91549295774648,71,0.16830985915492958,0.0929696313493114,0.23943661971830985,0.02394366197183099
