latent_dim,popularity_group,item_count,min_train_cart_count,max_train_cart_count,mean_train_cart_count,eligible_users,recall_at_10,ndcg_at_10,hit_rate_at_10,precision_at_10
8,low,56,0.0,5.0,2.857142857142857,51,0.0,0.0,0.0,0.0
8,medium,57,5.0,8.0,5.947368421052632,78,0.01282051282051282,0.004273504273504273,0.01282051282051282,0.001282051282051282
8,high,57,8.0,28.0,11.666666666666666,129,0.2667958656330749,0.14469281566030343,0.34108527131782945,0.03488372093023256
16,low,56,0.0,5.0,2.857142857142857,51,0.0,0.0,0.0,0.0
16,medium,57,5.0,8.0,5.947368421052632,78,0.00641025641025641,0.002800095343822618,0.01282051282051282,0.001282051282051282
16,high,57,8.0,28.0,11.666666666666666,129,0.24741602067183463,0.12778952950424796,0.31007751937984496,0.03488372093023256
32,low,56,0.0,5.0,2.857142857142857,51,0.0,0.0,0.0,0.0
32,medium,57,5.0,8.0,5.947368421052632,78,0.01282051282051282,0.0037059593117677934,0.01282051282051282,0.001282051282051282
32,high,57,8.0,28.0,11.666666666666666,129,0.25129198966408267,0.11916140739827409,0.31007751937984496,0.03255813953488372
64,low,56,0.0,5.0,2.857142857142857,51,0.0196078431372549,0.005902548934587867,0.0196078431372549,0.00196078431372549
64,medium,57,5.0,8.0,5.947368421052632,78,0.057692307692307696,0.03016372776686511,0.0641025641025641,0.00641025641025641
64,high,57,8.0,28.0,11.666666666666666,129,0.2202842377260982,0.12513421745695597,0.26356589147286824,0.028682170542635662
