epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.792884980584239,0.06358381502890173,0.031218218692599848,0.04966737328737427,0.021488057242992326
2,0.7913235746897184,0.07225433526011561,0.03442194561049744,0.05003302398214419,0.02455043127512782
3,0.7897851447482686,0.06069364161849711,0.03663381751689773,0.050922252974844685,0.029289983036965662
4,0.787450468147194,0.07996146435452794,0.04024571074996342,0.054800109048666466,0.03332848797046315
5,0.7824977204039857,0.12042389210019268,0.05465642992748535,0.06498155165883987,0.039254702227472155
6,0.7721001813699911,0.14065510597302505,0.0671801928278467,0.07475192589407824,0.04813946579150198
7,0.7540610288525675,0.16377649325626203,0.07245358956530192,0.0752249565446638,0.05098106798059078
8,0.7313838214664669,0.1608863198458574,0.0677807681100947,0.07517102817409027,0.04895525756624014
9,0.7109398809108105,0.14932562620423892,0.06411551413859748,0.07565475461024715,0.05032485463354419
10,0.6968188796724591,0.1464354527938343,0.06226018080395283,0.07600535988483148,0.05090670527481678
11,0.6879501008725428,0.1262042389210019,0.05671979331825671,0.07581032993832776,0.050065709287160386
12,0.6825215312150809,0.1262042389210019,0.05478358776286815,0.07550307344135165,0.05159238858044947
