model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
dim32,purchase,validation,5,173,0.09826589595375723,0.06258883033360264,0.12138728323699421,0.025433526011560695
dim32,purchase,validation,10,173,0.18111753371868977,0.09050146719278547,0.21965317919075145,0.022543352601156072
dim32,purchase,validation,20,173,0.28227360308285165,0.11746966373711781,0.3352601156069364,0.017341040462427744
dim32,viewplus,validation,5,591,0.0407390533528549,0.06780012585881859,0.29441624365482233,0.06666666666666668
dim32,viewplus,validation,10,591,0.0807945099898651,0.07935929539562998,0.48392554991539766,0.06852791878172589
dim32,viewplus,validation,20,591,0.1503947346685469,0.1074362338642745,0.6751269035532995,0.06624365482233502
dim32,favoriteplus,validation,5,467,0.04955643927806669,0.040192826231552584,0.12419700214132762,0.026552462526766595
dim32,favoriteplus,validation,10,467,0.1061231773223208,0.062469903876346274,0.2291220556745182,0.026552462526766595
dim32,favoriteplus,validation,20,467,0.18521209340267156,0.08871498635950856,0.3811563169164882,0.02366167023554604
dim32,purchase,test,5,212,0.07248427672955975,0.04606322857438657,0.11320754716981132,0.022641509433962266
dim32,purchase,test,10,212,0.14520440251572325,0.06976087844339027,0.19339622641509435,0.020283018867924527
dim32,purchase,test,20,212,0.24268867924528303,0.09662044177882073,0.3160377358490566,0.017216981132075475
dim32,viewplus,test,5,611,0.04098818717044758,0.07761694469008446,0.2978723404255319,0.0723404255319149
dim32,viewplus,test,10,611,0.09055575612768046,0.09062711640848797,0.5057283142389526,0.07414075286415713
dim32,viewplus,test,20,611,0.16747919349930215,0.11850750619089909,0.7037643207855974,0.06890343698854337
dim32,favoriteplus,test,5,485,0.04323269513991163,0.03615567509375355,0.1134020618556701,0.02391752577319588
dim32,favoriteplus,test,10,485,0.09668875797741777,0.057306311953470836,0.23917525773195877,0.02639175257731959
dim32,favoriteplus,test,20,485,0.1864686630666012,0.08619254563001971,0.4,0.02422680412371134
