epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.7994442267732306,0.09248554913294797,0.04428750105279027,0.06051371200176558,0.03783714492449675
2,0.7848721736080044,0.14450867052023122,0.06511598991595005,0.07396380066584148,0.05311581845844107
3,0.7723314762115479,0.16184971098265896,0.07467583161292683,0.07911230940914873,0.05917907754660847
4,0.7611176253675105,0.15606936416184972,0.07425373982199848,0.08051135510929304,0.059169297059730855
5,0.7505234545403785,0.1608863198458574,0.08028407067327809,0.08120689935769765,0.061407486186982496
6,0.740174039379581,0.15510597302504817,0.0775285478274923,0.08024368004824647,0.06338189184509996
7,0.7298988719562908,0.14932562620423892,0.07502261701099268,0.07851773439060332,0.06022860858214499
8,0.7199361160561278,0.15510597302504817,0.07709874826661016,0.07701054539330379,0.05951318322362272
9,0.7109452571187701,0.14932562620423892,0.07659632960320857,0.07704607723889197,0.05912641417784664
10,0.7031822977485237,0.15895953757225434,0.08056324307861763,0.07806982561528467,0.060162333716082976
11,0.696664823280586,0.16666666666666666,0.08329759299173718,0.07864505787918981,0.059650054477652106
12,0.6911959215834901,0.17052023121387283,0.0843923536790444,0.07839565116270061,0.0606886537639949
13,0.6863033234418093,0.1724470134874759,0.08676988210714696,0.07952644675280858,0.05940059536154929
14,0.6816624566748902,0.17822736030828515,0.08881657799472838,0.07972553381457836,0.06142222766215258
15,0.67713361454534,0.1724470134874759,0.08587208718922823,0.07897943099170547,0.06147394339626758
16,0.6726277896336147,0.16666666666666666,0.08614391950362318,0.07962341600180277,0.06290506649003012
17,0.6679884581775456,0.18111753371868977,0.09050146719278547,0.07935929539562998,0.062469903876346274
18,0.6633480420479407,0.1724470134874759,0.08754782389138502,0.07920396475589343,0.061987919912652394
19,0.6584072361935626,0.17052023121387283,0.08836658470334523,0.07819643888667666,0.06135872666258937
20,0.6537237285257695,0.1676300578034682,0.08717872489367863,0.07827119264373816,0.061767574061529114
21,0.6487501925164527,0.1676300578034682,0.08755794660067462,0.07738397447073005,0.06089170912147718
22,0.6439554344166766,0.16473988439306358,0.09000322165393274,0.07791558522062925,0.061843211428776725
