model,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
bce_mf,5,212,0.04874213836477988,0.030290881666866065,0.06132075471698113,0.012264150943396227
bpr_mf,5,212,0.05581761006289308,0.03910141184954278,0.08490566037735849,0.019811320754716984
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
bce_mf,10,212,0.11037735849056603,0.05343236218080562,0.16037735849056603,0.016981132075471698
bpr_mf,10,212,0.09040880503144655,0.05121224195303609,0.12264150943396226,0.014622641509433962
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
bce_mf,20,212,0.2003930817610063,0.07738475217845955,0.2688679245283019,0.01438679245283019
bpr_mf,20,212,0.19292452830188678,0.07909692566936737,0.24528301886792453,0.014150943396226415
