epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.6934277176856994,0.07996146435452794,0.03380114873597751,0.05134617986053699,0.020275401837048193
2,0.6921963721513749,0.07707129094412332,0.03226689997889255,0.0515106346069246,0.02226949563423813
3,0.6912016302347184,0.08285163776493257,0.03529840584070498,0.05156567092440591,0.022992141788811534
4,0.6903802514076233,0.07996146435452794,0.035334792298869225,0.05073825778586796,0.025167056877820438
5,0.6894958913326263,0.08285163776493257,0.03599567736815222,0.05269870078186183,0.02472683356803873
6,0.688658994436264,0.09441233140655106,0.03892822248739308,0.05321169938914234,0.027298939459404887
7,0.687766718864441,0.09441233140655106,0.04046625154004312,0.05295261060918045,0.027496683294089188
8,0.6868617236614227,0.1001926782273603,0.04287837964333297,0.052347830958126076,0.028615340494541435
9,0.6857580125331879,0.10886319845857417,0.045946986291703844,0.05301514142871944,0.02934689533889944
10,0.6845909297466278,0.08574181117533719,0.042219544076571136,0.05341378128134384,0.031068973431032796
11,0.6832922697067261,0.1001926782273603,0.048458317918913106,0.053975629737303035,0.034251906157056485
12,0.6817801982164383,0.09730250481695568,0.04952250100447709,0.05397684632835133,0.03620750013387878
13,0.6800287276506424,0.09922928709055877,0.04816287468402749,0.05481193820262793,0.03685501148729484
14,0.6777489095926285,0.1021194605009634,0.047349694355608214,0.0529427058854565,0.03636721019382743
15,0.6751787632703781,0.09922928709055877,0.045195586509003,0.052107534935565386,0.03493592319338139
16,0.6720226734876633,0.09826589595375723,0.044618157009538355,0.0533929526139886,0.03354531957081159
17,0.6681669324636459,0.11560693641618497,0.050483774239620256,0.055036584770759074,0.03516048953801802
18,0.6636777341365814,0.12138728323699421,0.056322256389951135,0.05642072672469641,0.0381661073051416
19,0.6583633333444595,0.13005780346820808,0.06071418355448724,0.05778336185458739,0.04092878992442792
20,0.6521898001432419,0.13872832369942195,0.06451217251319456,0.058653529830930515,0.04093702418388093
21,0.6450429916381836,0.14450867052023122,0.06726065420208097,0.06106730725698453,0.04596602660521875
22,0.6368737429380417,0.1531791907514451,0.07334228995600733,0.06426468341074637,0.047343649621720496
23,0.6278476357460022,0.17822736030828515,0.08191591374523366,0.06600121998483255,0.052239571869069724
24,0.6180870175361634,0.18208092485549132,0.08673922929925669,0.06632178684917303,0.05470112574684535
25,0.6074219435453415,0.1724470134874759,0.08471881113583447,0.06861988175454463,0.05197863568599317
26,0.596262514591217,0.17822736030828515,0.08242681723210094,0.06991987836729738,0.05275541068822543
27,0.5853081673383713,0.16955684007707128,0.08037626725251218,0.0703855974046788,0.052865425909928716
28,0.5734232395887375,0.17822736030828515,0.08392422243088643,0.07105232705318572,0.054167991992975666
29,0.5618645936250687,0.17822736030828515,0.08079592580124524,0.07039691918042731,0.05327032152257685
