epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.8054554979879778,0.06358381502890173,0.03131918683950267,0.050086786287622066,0.021160154644449283
2,0.8038748633730542,0.07225433526011561,0.03426065695446098,0.049744112822597365,0.02448666225930712
3,0.8023699286219838,0.07803468208092486,0.04022224493164907,0.049832692007833176,0.027770580314852637
4,0.8002745967644912,0.07707129094412332,0.04103474035038623,0.05412984182833677,0.0314517018716264
5,0.7962238795154697,0.12042389210019268,0.05262428244959054,0.06125033235897301,0.038755756061235824
6,0.787981805565593,0.14547206165703278,0.07198313205945062,0.07099332842243208,0.045206616601771776
7,0.7732436912400382,0.17148362235067438,0.0805593441804089,0.07516762220726148,0.05102671030480012
8,0.7532053229573009,0.17726396917148363,0.07796899718721255,0.0739597700151147,0.050675144260382124
9,0.7331407757905813,0.1483622350674374,0.06974947150798638,0.07560844539769063,0.051376007135345396
10,0.7177879548334813,0.1464354527938343,0.06976666347789212,0.07628675341904502,0.051350253295903384
11,0.7075808572245168,0.1348747591522158,0.06777577218313792,0.07705839335544039,0.05194063107257842
12,0.7010444356844976,0.1464354527938343,0.06923222647498875,0.07692253022990951,0.05397745324272333
