popularity_signal,evaluation_task,split,exclude_seen,k,eligible_users,recall,ndcg,hit_rate,precision
unique_view_users,purchase,validation,True,10,173,0.13102119460500963,0.0618303343035257,0.16184971098265896,0.0161849710982659
unique_view_users,purchase,validation,True,20,173,0.30346820809248554,0.1087370350754687,0.36416184971098264,0.01907514450867052
log_view_strength,purchase,validation,True,5,173,0.05009633911368015,0.03393524357284514,0.06936416184971098,0.013872832369942198
log_view_strength,purchase,validation,True,10,173,0.13102119460500963,0.06096046369044729,0.16184971098265896,0.0161849710982659
log_view_strength,purchase,validation,True,20,173,0.3082851637764933,0.10909646341239078,0.3699421965317919,0.01907514450867052
favoriteplus_unique_pairs,purchase,validation,True,5,173,0.05876685934489402,0.036592800154524784,0.06936416184971098,0.013872832369942198
favoriteplus_unique_pairs,purchase,validation,True,10,173,0.13198458574181116,0.061196904980097035,0.15028901734104047,0.015606936416184972
favoriteplus_unique_pairs,purchase,validation,True,20,173,0.2832369942196532,0.10204097995114117,0.3468208092485549,0.017919075144508672
cart_count,purchase,validation,True,5,173,0.08766859344894026,0.05435819464535638,0.10404624277456648,0.020809248554913295
cart_count,purchase,validation,True,10,173,0.15125240847784202,0.07646442533904069,0.18497109826589594,0.01907514450867052
cart_count,purchase,validation,True,20,173,0.2524084778420038,0.10324203215151312,0.30057803468208094,0.015317919075144511
purchase_count,purchase,validation,True,5,173,0.09344894026974952,0.056081365037302044,0.12138728323699421,0.024277456647398846
purchase_count,purchase,validation,True,10,173,0.14739884393063585,0.07378765592096555,0.18497109826589594,0.018497109826589597
purchase_count,purchase,validation,True,20,173,0.2610789980732177,0.10301574615041069,0.3063583815028902,0.015606936416184972
weighted_popularity_v1,purchase,validation,True,5,173,0.07610789980732177,0.04637317643173683,0.09826589595375723,0.019653179190751446
weighted_popularity_v1,purchase,validation,True,10,173,0.17052023121387283,0.07678250078535487,0.20809248554913296,0.020809248554913295
weighted_popularity_v1,purchase,validation,True,20,173,0.2861271676300578,0.10741379770432369,0.3468208092485549,0.017919075144508672
total_view_count,viewplus,test,True,5,611,0.04787625184947401,0.08518554723197598,0.32405891980360063,0.07888707037643208
total_view_count,viewplus,test,True,10,611,0.0933722421448644,0.09802903065921277,0.502454991816694,0.08052373158756138
total_view_count,viewplus,test,True,20,611,0.16808466291266735,0.12482560125780136,0.7021276595744681,0.07283142389525368
unique_view_users,viewplus,test,True,5,611,0.04891898946426779,0.08586338123762158,0.3191489361702128,0.07921440261865795
unique_view_users,viewplus,test,True,10,611,0.09322971637552455,0.09882958773285722,0.5073649754500819,0.08085106382978723
unique_view_users,viewplus,test,True,20,611,0.16903343419092462,0.12493374825691116,0.707037643207856,0.0718494271685761
log_view_strength,viewplus,test,True,5,611,0.04903536816601129,0.0856109441744921,0.32896890343698854,0.08052373158756138
log_view_strength,viewplus,test,True,10,611,0.09366467939016078,0.09838343044885572,0.5040916530278232,0.08134206219312602
log_view_strength,viewplus,test,True,20,611,0.16836276155430774,0.12426821971641708,0.6972176759410802,0.07193126022913257
favoriteplus_unique_pairs,viewplus,test,True,5,611,0.04206863934253339,0.07915085664234285,0.3142389525368249,0.07430441898527006
favoriteplus_unique_pairs,viewplus,test,True,10,611,0.08831195303063993,0.09149909137059951,0.5106382978723404,0.07446808510638298
favoriteplus_unique_pairs,viewplus,test,True,20,611,0.15303680282612586,0.11414709069345243,0.6775777414075287,0.06489361702127659
cart_count,viewplus,test,True,5,611,0.04989560040633222,0.08923886284450308,0.3355155482815057,0.08445171849427169
cart_count,viewplus,test,True,10,611,0.08601716821212636,0.09378853287414385,0.5106382978723404,0.07315875613747955
cart_count,viewplus,test,True,20,611,0.14822933206421327,0.1151651842097932,0.6710310965630114,0.06415711947626841
purchase_count,viewplus,test,True,5,611,0.04255014844202171,0.07893797292693168,0.2995090016366612,0.07561374795417349
purchase_count,viewplus,test,True,10,611,0.08099634003350277,0.08691867028351268,0.486088379705401,0.07135842880523732
purchase_count,viewplus,test,True,20,611,0.1505275275301757,0.11069792956248212,0.662847790507365,0.06399345335515548
weighted_popularity_v1,viewplus,test,True,5,611,0.04514272381704601,0.0850503635420537,0.32569558101472995,0.07986906710310966
weighted_popularity_v1,viewplus,test,True,10,611,0.08717938255977661,0.09364257055346566,0.502454991816694,0.07414075286415713
weighted_popularity_v1,viewplus,test,True,20,611,0.1596467445850445,0.11946631380890137,0.690671031096563,0.06792144026186579
total_view_count,favoriteplus,test,True,5,485,0.05275650466372116,0.039853489922724576,0.13195876288659794,0.02639175257731959
total_view_count,favoriteplus,test,True,10,485,0.10355751922762232,0.06038073757179092,0.24948453608247423,0.02701030927835052
total_view_count,favoriteplus,test,True,20,485,0.19763950253640977,0.09054636781846573,0.41030927835051545,0.025154639175257735
unique_view_users,favoriteplus,test,True,5,485,0.0543519882179676,0.04413492982343643,0.13195876288659794,0.02639175257731959
unique_view_users,favoriteplus,test,True,10,485,0.10000327278677794,0.06242117446739811,0.23917525773195877,0.02556701030927835
unique_view_users,favoriteplus,test,True,20,485,0.1940165275732286,0.09366462209743845,0.4,0.02577319587628866
log_view_strength,favoriteplus,test,True,5,485,0.05275650466372116,0.04250171289750126,0.13195876288659794,0.02639175257731959
log_view_strength,favoriteplus,test,True,10,485,0.10269841269841269,0.06259873939943493,0.2515463917525773,0.026804123711340205
log_view_strength,favoriteplus,test,True,20,485,0.1999271804941908,0.09412128446603532,0.41030927835051545,0.026082474226804125
favoriteplus_unique_pairs,favoriteplus,test,True,5,485,0.0528661430207822,0.04155223949581759,0.11958762886597939,0.024329896907216497
favoriteplus_unique_pairs,favoriteplus,test,True,10,485,0.10359024709540174,0.06257437291335412,0.23711340206185566,0.02618556701030928
favoriteplus_unique_pairs,favoriteplus,test,True,20,485,0.2002184585174276,0.09378680866766873,0.3979381443298969,0.025257731958762887
cart_count,favoriteplus,test,True,5,485,0.06007691048928162,0.049427765320980546,0.15257731958762888,0.03175257731958763
cart_count,favoriteplus,test,True,10,485,0.11348879070528554,0.07049017302551928,0.25773195876288657,0.02865979381443299
cart_count,favoriteplus,test,True,20,485,0.1915202094583538,0.09512319241657795,0.3958762886597938,0.02412371134020619
purchase_count,favoriteplus,test,True,5,485,0.05927425953199149,0.04868537933976467,0.13814432989690723,0.029690721649484535
purchase_count,favoriteplus,test,True,10,485,0.10040991654393716,0.06512498166423276,0.2288659793814433,0.025979381443298973
purchase_count,favoriteplus,test,True,20,485,0.17845933562428407,0.09141104273533615,0.36907216494845363,0.02391752577319588
weighted_popularity_v1,favoriteplus,test,True,5,485,0.06244477172312224,0.050294541901158715,0.15670103092783505,0.03257731958762887
weighted_popularity_v1,favoriteplus,test,True,10,485,0.11028800523645885,0.06887498135649227,0.2515463917525773,0.027628865979381443
weighted_popularity_v1,favoriteplus,test,True,20,485,0.18896416298478153,0.09528842152798138,0.38762886597938145,0.024845360824742268
total_view_count,purchase,test,True,5,212,0.06501572327044025,0.04234188966427159,0.09433962264150944,0.018867924528301886
total_view_count,purchase,test,True,10,212,0.11981132075471697,0.062045171770493124,0.1792452830188679,0.018396226415094342
total_view_count,purchase,test,True,20,212,0.22767295597484277,0.09217679041136627,0.30660377358490565,0.017216981132075475
unique_view_users,purchase,test,True,5,212,0.06737421383647799,0.04597114761836645,0.09433962264150944,0.019811320754716984
unique_view_users,purchase,test,True,10,212,0.12059748427672956,0.06485191125522269,0.1792452830188679,0.018867924528301886
unique_view_users,purchase,test,True,20,212,0.24182389937106918,0.09801122876676581,0.32075471698113206,0.018160377358490565
log_view_strength,purchase,test,True,5,212,0.06501572327044025,0.04465543349146572,0.09433962264150944,0.018867924528301886
log_view_strength,purchase,test,True,10,212,0.12059748427672956,0.06473890904171539,0.1792452830188679,0.018867924528301886
log_view_strength,purchase,test,True,20,212,0.2371069182389937,0.09665408385206617,0.3160377358490566,0.01768867924528302
favoriteplus_unique_pairs,purchase,test,True,5,212,0.07272012578616352,0.04886547063630801,0.09905660377358491,0.019811320754716984
favoriteplus_unique_pairs,purchase,test,True,10,212,0.11949685534591195,0.06607509881890102,0.16981132075471697,0.017452830188679245
favoriteplus_unique_pairs,purchase,test,True,20,212,0.22083333333333335,0.09409981298643794,0.3018867924528302,0.016037735849056607
cart_count,purchase,test,True,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
cart_count,purchase,test,True,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
cart_count,purchase,test,True,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
purchase_count,purchase,test,True,5,212,0.0710691823899371,0.04610957830095244,0.11320754716981132,0.02358490566037736
purchase_count,purchase,test,True,10,212,0.14040880503144654,0.06918696380973076,0.18867924528301888,0.019811320754716984
purchase_count,purchase,test,True,20,212,0.25322327044025156,0.10080430028634509,0.32547169811320753,0.018632075471698113
weighted_popularity_v1,purchase,test,True,5,212,0.07342767295597484,0.04829641055498762,0.1179245283018868,0.02358490566037736
weighted_popularity_v1,purchase,test,True,10,212,0.13671383647798743,0.07009491011320625,0.19811320754716982,0.020754716981132078
weighted_popularity_v1,purchase,test,True,20,212,0.2369496855345912,0.09740219978252293,0.3160377358490566,0.01768867924528302
