epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.7960646290045518,0.10500963391136803,0.043880441529404936,0.06522067625796958,0.03385535372927138
2,0.777155400632502,0.13583815028901733,0.07563255447527487,0.07667141836126318,0.052281326351013485
3,0.7621940105825991,0.15125240847784202,0.08477207364013115,0.07884069010074184,0.059436026695202426
4,0.7501015008150876,0.1628131021194605,0.0851600052608524,0.07933245449857615,0.06086555730187787
5,0.7399871447584131,0.174373795761079,0.08905956906615599,0.07802455539136305,0.06294913866464
6,0.7313571493704241,0.174373795761079,0.08798841321929647,0.07881478461576802,0.06374480870900646
7,0.7237611354052366,0.1599229287090559,0.08447176303927759,0.07792276222952894,0.0626113853120858
8,0.7168091974415622,0.1608863198458574,0.08520454416814495,0.07786006877806416,0.06239322592218277
9,0.7103787110402033,0.1531791907514451,0.07872978630551063,0.07651738299929388,0.05980866032414157
10,0.7040597861939735,0.14450867052023122,0.07743980896255935,0.07538423662087242,0.058244763826347176
