epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.8055800369807652,0.06358381502890173,0.03440809959514087,0.049524326519784875,0.022177188509926157
2,0.8039997953634995,0.06647398843930635,0.039210392283891844,0.0495498087856504,0.020770968734281862
3,0.8025646884362776,0.06069364161849711,0.03553954369181719,0.05004108324064051,0.020213479918567794
4,0.8007020138122223,0.07225433526011561,0.03533438107769199,0.05477913755554546,0.025003008050839257
5,0.7973250786026755,0.09826589595375723,0.05086677343260505,0.05477692909807957,0.03483728843439532
6,0.7907220079348638,0.10789980732177265,0.05936925597869777,0.06333799969458266,0.04457880366152191
7,0.7788650485185477,0.14258188824662812,0.06815811376283074,0.06788537157701491,0.047751987961771755
8,0.7619228343387227,0.15703275529865127,0.06913132038575748,0.07053744834748071,0.046928467854068595
9,0.7436837599827693,0.13391136801541426,0.06483633961597894,0.0736038541748991,0.04860143408318321
10,0.7285235091880128,0.1531791907514451,0.07217893266685386,0.07411796500718448,0.05232218787196845
11,0.7179078099491832,0.15606936416184972,0.06924113710364327,0.0731953527706177,0.05247278554491676
12,0.710937329701015,0.16184971098265896,0.07106793463196315,0.07386463156079909,0.05427547574190621
13,0.7060216789717203,0.15606936416184972,0.07097878276306184,0.07586016063676675,0.05604621276001035
14,0.7024785293327583,0.14450867052023122,0.06816653841329086,0.07571673725616324,0.053532393580013674
15,0.6993836098974877,0.1531791907514451,0.07066073471283554,0.07581637340287611,0.05492497716822614
