epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.6928688988580809,0.06358381502890173,0.030099235734009206,0.04901034513867023,0.02122542167667368
2,0.6911525824567774,0.06069364161849711,0.03156405066416244,0.050568206236634175,0.024540730211883063
3,0.6879113565434466,0.06647398843930635,0.03638584399023996,0.05363929529515105,0.02926902646192043
4,0.6772361849690531,0.11753371868978804,0.0568368612113988,0.06839704633435134,0.04492377033428698
5,0.6471640775491904,0.15510597302504817,0.0681393658112377,0.07525692962648968,0.05070379020081746
6,0.5953174685383891,0.16666666666666666,0.0692279135889659,0.07726199570563051,0.05349172483533066
7,0.5460013007069682,0.15510597302504817,0.06186823992506413,0.07781470444462514,0.05304930639613724
8,0.5180103195892586,0.11946050096339114,0.050112603598426994,0.07672463443984552,0.050345501747169126
9,0.5054958072992471,0.1021194605009634,0.0441393659296217,0.07750240305090003,0.05035964048106753
10,0.5000007434205694,0.11657032755298652,0.04906329012911709,0.07890084724691354,0.05057508549498357
11,0.49715515479936706,0.10789980732177265,0.04636225196168971,0.07837098551261015,0.050979520575556006
