epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.6931975781917572,0.09633911368015415,0.04405858912526717,0.06968525177569769,0.038741106484371624
2,0.6921815574169159,0.1021194605009634,0.04567832391995032,0.06915671319776555,0.038381210953431624
3,0.6912797689437866,0.1021194605009634,0.045746851920964116,0.06954361833728587,0.03892816759288807
4,0.6904036700725555,0.1021194605009634,0.046056213041780356,0.06916017155642652,0.03909594437917293
5,0.6896096616983414,0.1021194605009634,0.04613238720774759,0.06885408725956264,0.03919319680659683
6,0.6890740245580673,0.10789980732177265,0.047848840490062175,0.06859556754415864,0.040137921724067646
7,0.6881114989519119,0.10789980732177265,0.048104727813850875,0.0684170779661502,0.04062564545947058
8,0.6873838752508163,0.10500963391136803,0.04704157351106551,0.06873522121326608,0.040454175843677796
9,0.6866441518068314,0.10789980732177265,0.0481693639349479,0.0687918256423369,0.039882313369005204
10,0.6859282851219177,0.10500963391136803,0.04763136282074952,0.06847374288123736,0.04068501049766742
11,0.6851596683263779,0.10500963391136803,0.04794863773869668,0.0686568067099447,0.040748211515696645
12,0.6844530701637268,0.10500963391136803,0.04777618903410883,0.0679265477700726,0.04063865417292454
13,0.6837706565856934,0.10500963391136803,0.047236328832115496,0.06793832509532471,0.040583887078428596
14,0.6829831004142761,0.09922928709055877,0.04566343007325809,0.06775625510722705,0.040770465192186224
