model,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
best_mf,5,212,0.09072327044025158,0.06194750054020856,0.12735849056603774,0.026415094339622643
best_hybrid,5,212,0.09072327044025158,0.06194750054020856,0.12735849056603774,0.026415094339622643
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
best_mf,10,212,0.15125786163522015,0.08314870453843481,0.21226415094339623,0.021698113207547172
best_hybrid,10,212,0.15125786163522015,0.08314870453843481,0.21226415094339623,0.021698113207547172
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
best_mf,20,212,0.22672955974842768,0.10387958535092305,0.29245283018867924,0.016273584905660377
best_hybrid,20,212,0.22672955974842768,0.10387958535092305,0.29245283018867924,0.016273584905660377
