epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,1.250287906764305,0.128131021194605,0.07056793774132748,0.07534819839078312,0.05336791348967291
2,1.237859843528434,0.15703275529865127,0.08349464717558407,0.07772613429370158,0.06017255724341293
3,1.2269666717477041,0.18208092485549132,0.09535248966085431,0.07792502688906375,0.06283980841294502
4,1.2169018281649238,0.19171483622350674,0.10825575871329617,0.07836158355682941,0.06670966477220969
5,1.2063753065997607,0.18882466281310212,0.11151999608528154,0.07879454011074614,0.06797655132667242
6,1.195631892713782,0.19460500963391136,0.11545833791478106,0.07685510082843955,0.06959558967121615
7,1.1839196894266835,0.197495183044316,0.11650512962893837,0.07692577555362155,0.06774428572509641
8,1.171292688748608,0.197495183044316,0.11391721522833509,0.07682875876348275,0.06877073263606663
9,1.1573603839090425,0.20616570327552985,0.11322713221930389,0.07654806248802007,0.06595668214735799
10,1.142555300503561,0.2042389210019268,0.10920101582743735,0.07664302825596307,0.06450824514627361
11,1.1266652117036793,0.19845857418111754,0.10454849237780854,0.07605098162648777,0.06521570863655443
12,1.1104245920703835,0.20616570327552985,0.10584912601826059,0.0761657704050483,0.06473768182932181
