model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
bpr,purchase,validation,5,173,0.11560693641618497,0.0890812767559459,0.12716763005780346,0.025433526011560695
bpr,purchase,validation,10,173,0.197495183044316,0.11650512962893837,0.2254335260115607,0.022543352601156072
bpr,purchase,validation,20,173,0.2976878612716763,0.1439973781899186,0.35260115606936415,0.01878612716763006
bpr,viewplus,validation,5,591,0.033397695856276395,0.0663749209751473,0.2622673434856176,0.06429780033840947
bpr,viewplus,validation,10,591,0.0739320759411391,0.07692577555362155,0.46362098138747887,0.06717428087986464
bpr,viewplus,validation,20,591,0.14609881603891342,0.10496955621248902,0.6852791878172588,0.06412859560067681
bpr,favoriteplus,validation,5,467,0.05804187485129669,0.04739724163835509,0.1284796573875803,0.028265524625267668
bpr,favoriteplus,validation,10,467,0.10849053397233269,0.06774428572509641,0.2398286937901499,0.027194860813704497
bpr,favoriteplus,validation,20,467,0.19065378471160055,0.09459202964024781,0.3683083511777302,0.024411134903640257
bpr,purchase,test,5,212,0.06462264150943396,0.04368093503065756,0.10377358490566038,0.021698113207547172
bpr,purchase,test,10,212,0.1221698113207547,0.06300085686077603,0.17452830188679244,0.017924528301886795
bpr,purchase,test,20,212,0.21375786163522012,0.08803804288394147,0.29245283018867924,0.016037735849056607
bpr,viewplus,test,5,611,0.042375892544834065,0.07578609563577438,0.2896890343698854,0.0723404255319149
bpr,viewplus,test,10,611,0.08305195603307779,0.08681887484245814,0.486088379705401,0.07152209492635025
bpr,viewplus,test,20,611,0.16081402832720015,0.11622227698166136,0.6857610474631751,0.06873977086743044
bpr,favoriteplus,test,5,485,0.04590083456062838,0.04021451397129834,0.12371134020618557,0.025979381443298973
bpr,favoriteplus,test,10,485,0.08570774014072984,0.05654049627087867,0.21649484536082475,0.02412371134020619
bpr,favoriteplus,test,20,485,0.17357633775159548,0.08443406049791337,0.38144329896907214,0.02288659793814433
