objective,unique_purchase_top10_lists,average_pairwise_top10_overlap,average_cart_popularity_top10_overlap,recommended_item_cart_score_mean
bce,206,0.5979746043101135,0.5273584905660377,15.27688679245283
bpr,206,0.49651703478494147,0.5174528301886793,14.914622641509434
