epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.9277415454387665,0.0626204238921002,0.03153244778552144,0.051292337990309314,0.02807009537120038
2,0.9246090918779373,0.08285163776493257,0.03853017642673062,0.0544712701406993,0.030724245363756002
3,0.920209887623787,0.08959537572254335,0.04067327151904509,0.05351867178566102,0.02844382625050694
4,0.9169821798801422,0.1001926782273603,0.04476583708445561,0.05710198609611239,0.029343398986264122
5,0.9128513902425766,0.1233140655105973,0.05345539557274717,0.05734517889982596,0.03027847515260928
6,0.9091496765613556,0.11464354527938342,0.052775773759477965,0.059052644215026005,0.029116462586301142
7,0.9077873796224594,0.1233140655105973,0.05676923171518891,0.058239960367753314,0.0306402172246834
8,0.9058271944522858,0.12042389210019268,0.05689368640814764,0.05926220833744767,0.030595000033841455
9,0.9000202775001526,0.1117533718689788,0.05480816417707411,0.05909167993336732,0.029873088102820505
10,0.8969177007675171,0.12042389210019268,0.058805213051383594,0.05968838212669507,0.03143070774425531
11,0.8937472492456436,0.1348747591522158,0.0638647400408787,0.06012040968501073,0.03229220818879919
12,0.8913664877414703,0.1233140655105973,0.06114934929197728,0.06074125128691377,0.031241393483133807
13,0.8866304636001587,0.1262042389210019,0.06107639500726928,0.061226992475298656,0.03148022408712539
14,0.8834992825984955,0.1262042389210019,0.061540437989337615,0.060759226576468615,0.03173194559623092
15,0.8782298862934113,0.13198458574181116,0.06349736878403757,0.05998545262087771,0.03173893044334424
16,0.8757156789302826,0.1262042389210019,0.06101514876216469,0.05950957829730289,0.03205571280336956
