epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.980208232998848,0.07129094412331406,0.038382262066191025,0.055873988605314936,0.032029004076909506
2,0.9768816083669662,0.07707129094412332,0.04158606187346736,0.05757167847290392,0.032713878986632666
3,0.9764095917344093,0.08863198458574181,0.04574520110738995,0.058047237566891556,0.03282412143071631
4,0.9718151614069939,0.08863198458574181,0.0460104243485601,0.059981899327951414,0.03444353831827795
5,0.9697070047259331,0.09441233140655106,0.04624469611376391,0.06074014824498771,0.034470929510669976
6,0.9677254036068916,0.09633911368015415,0.04725490128401765,0.061238623288684395,0.03480653089425185
7,0.9644699096679688,0.09826589595375723,0.04896268292535554,0.06206714864242524,0.035889820311517724
8,0.9630375728011131,0.11271676300578035,0.05583373235355322,0.06341217568247354,0.03731721051871436
9,0.9614207148551941,0.11849710982658959,0.057891231557305224,0.06419409393655111,0.03796438488467413
10,0.9568016678094864,0.11560693641618497,0.05687119328112176,0.06394535669698692,0.038165190292994894
11,0.9542960003018379,0.12138728323699421,0.05921554323907765,0.06543494896427168,0.03890905912436839
12,0.9529998525977135,0.12138728323699421,0.05942982832610411,0.0655530527986021,0.03839421550226492
13,0.9502722769975662,0.11849710982658959,0.05931921233634327,0.06549653172662974,0.03880216341731757
14,0.9475982561707497,0.11271676300578035,0.05743555765918939,0.06525488303403186,0.038445817847787896
15,0.9450390413403511,0.11271676300578035,0.05607314971061499,0.06479929315820084,0.039130886830449574
16,0.9415944665670395,0.11271676300578035,0.055774798675003914,0.06545469866073683,0.03878502824068569
17,0.9407698214054108,0.11271676300578035,0.05590701748295009,0.06593901893742575,0.03920464893318421
