epoch,train_loss,validation_purchase_recall_at_10,validation_purchase_ndcg_at_10,validation_viewplus_ndcg_at_10,validation_favoriteplus_ndcg_at_10
1,0.7679562057767596,0.06454720616570327,0.037157002599070954,0.06819948158204112,0.03636288061939709
2,0.7528934472209805,0.09633911368015415,0.04827369456289237,0.0780915787829621,0.04322028828799961
3,0.7396488752993908,0.14258188824662812,0.06250504542049343,0.08033500352765073,0.04746534548821696
4,0.7277648527543623,0.13776493256262043,0.061431931802331294,0.081196900134353,0.04910559470654436
5,0.716600803228525,0.13776493256262043,0.06255484524468648,0.08078835766721999,0.05134141753212454
6,0.7056578967597459,0.1608863198458574,0.07402786078957704,0.08041334074553441,0.050786859528013345
7,0.6945049651376494,0.1608863198458574,0.07426508371017204,0.08087645567252377,0.052368932072335714
8,0.6833778351217836,0.14932562620423892,0.07193559779609193,0.07969959429055334,0.05403842522426362
9,0.6732147853453081,0.14932562620423892,0.0706390620992576,0.0806893040061059,0.05426454039870118
10,0.6648080119719872,0.14065510597302505,0.0690909761548532,0.08015798888735647,0.05281606154540389
11,0.6584552611623492,0.1416184971098266,0.0678703237958656,0.07902072804772083,0.054066924440398276
12,0.6538293119315263,0.14450867052023122,0.06842150056921424,0.07921493138784978,0.05385635405812672
