signal,group,user_count,eligible_share,recall_at_10,ndcg_at_10,hit_rate_at_10,precision_at_10
cartplus,all,212,1.0,0.09292452830188679,0.05676642360922257,0.14622641509433962,0.014622641509433962
cartplus,learned,162,0.7641509433962265,0.09897119341563787,0.059724244528306276,0.14814814814814814,0.014814814814814817
cartplus,fallback,50,0.2358490566037736,0.07333333333333333,0.04718308383139135,0.14,0.014000000000000002
favorite_cartplus,all,212,1.0,0.09921383647798741,0.0557548427749078,0.15566037735849056,0.016037735849056607
favorite_cartplus,learned,192,0.9056603773584906,0.1017361111111111,0.05724788411816734,0.15625,0.016145833333333335
favorite_cartplus,fallback,20,0.09433962264150944,0.075,0.0414216458796162,0.15,0.015000000000000003
cart_centered_weighted,all,212,1.0,0.12177672955974843,0.06409978952073762,0.17452830188679244,0.018867924528301886
cart_centered_weighted,learned,205,0.9669811320754716,0.1259349593495935,0.06628856282144574,0.18048780487804877,0.01951219512195122
cart_centered_weighted,fallback,7,0.0330188679245283,0.0,0.0,0.0,0.0
existing_weighted,all,212,1.0,0.13970125786163523,0.07314645751462176,0.19339622641509435,0.021698113207547172
existing_weighted,learned,205,0.9669811320754716,0.14447154471544715,0.07564414142975519,0.2,0.022439024390243905
existing_weighted,fallback,7,0.0330188679245283,0.0,0.0,0.0,0.0
