strategy,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
exposed_non_conversion,purchase,validation,5,173,0.11560693641618497,0.07855690544148008,0.1329479768786127,0.026589595375722547
exposed_non_conversion,purchase,validation,10,173,0.174373795761079,0.09795717649218597,0.20809248554913296,0.020809248554913295
exposed_non_conversion,purchase,validation,20,173,0.28516377649325625,0.12787298216118625,0.36416184971098264,0.018208092485549134
exposed_non_conversion,viewplus,validation,5,591,0.03332157493126201,0.0638683538035386,0.25042301184433163,0.05820642978003384
exposed_non_conversion,viewplus,validation,10,591,0.06700608697487705,0.07103370793228354,0.4196277495769882,0.05651438240270727
exposed_non_conversion,viewplus,validation,20,591,0.12523196484614335,0.09434090728286171,0.649746192893401,0.05431472081218274
exposed_non_conversion,favoriteplus,validation,5,467,0.04141684511063526,0.03898586657037889,0.10492505353319058,0.02226980728051392
exposed_non_conversion,favoriteplus,validation,10,467,0.08509992862241256,0.05595697785924989,0.1841541755888651,0.020770877944325482
exposed_non_conversion,favoriteplus,validation,20,467,0.1656699296420924,0.08133066765337987,0.33190578158458245,0.019914346895074948
exposed_non_conversion,purchase,test,5,212,0.059748427672955975,0.04313019667679222,0.08962264150943396,0.017924528301886795
exposed_non_conversion,purchase,test,10,212,0.12240566037735849,0.06550665533807151,0.16981132075471697,0.018396226415094342
exposed_non_conversion,purchase,test,20,212,0.21179245283018866,0.09026803117213791,0.2971698113207547,0.016037735849056607
exposed_non_conversion,viewplus,test,5,611,0.034853664851739796,0.06394020117007629,0.2569558101472995,0.06022913256955811
exposed_non_conversion,viewplus,test,10,611,0.069087099973088,0.07179833847258799,0.42225859247135844,0.05842880523731588
exposed_non_conversion,viewplus,test,20,611,0.13194376956120785,0.09535791309142728,0.6153846153846154,0.05638297872340426
exposed_non_conversion,favoriteplus,test,5,485,0.03509654720994927,0.028457495593507468,0.09690721649484536,0.019793814432989693
exposed_non_conversion,favoriteplus,test,10,485,0.08605220094910816,0.04863691118907958,0.21237113402061855,0.022268041237113404
exposed_non_conversion,favoriteplus,test,20,485,0.14794223531336934,0.06870915379677262,0.32577319587628867,0.018969072164948454
